contract_id,client_id,start_date,end_date,value,type,auto_renew,status,assigned_manager
CON-00001,CLT-0002,2026-02-01,2027-02-01,5250,monthly,0,expiring,EMP-002
CON-00002,CLT-0003,2026-03-01,2027-03-01,5500,quarterly,0,renewed,EMP-003
CON-00003,CLT-0004,2026-04-01,2027-04-01,5750,project,1,cancelled,EMP-004
CON-00004,CLT-0005,2026-05-01,2027-05-01,6000,annual,0,active,EMP-005
CON-00005,CLT-0006,2026-06-01,2027-06-01,6250,monthly,0,expiring,EMP-006
CON-00006,CLT-0007,2026-07-01,2027-07-01,6500,quarterly,1,renewed,EMP-007
CON-00007,CLT-0008,2026-08-01,2027-08-01,6750,project,0,cancelled,EMP-008
CON-00008,CLT-0009,2026-09-01,2027-09-01,7000,annual,0,active,EMP-009
CON-00009,CLT-0010,2026-01-01,2027-01-01,7250,monthly,1,expiring,EMP-010
CON-00010,CLT-0011,2026-02-01,2027-02-01,7500,quarterly,0,renewed,EMP-011
CON-00011,CLT-0012,2026-03-01,2027-03-01,7750,project,0,cancelled,EMP-012
CON-00012,CLT-0013,2026-04-01,2027-04-01,8000,annual,1,active,EMP-013
CON-00013,CLT-0014,2026-05-01,2027-05-01,8250,monthly,0,expiring,EMP-014
CON-00014,CLT-0015,2026-06-01,2027-06-01,8500,quarterly,0,renewed,EMP-015
CON-00015,CLT-0016,2026-07-01,2027-07-01,8750,project,1,cancelled,EMP-016
CON-00016,CLT-0017,2026-08-01,2027-08-01,9000,annual,0,active,EMP-017
CON-00017,CLT-0018,2026-09-01,2027-09-01,9250,monthly,0,expiring,EMP-018
CON-00018,CLT-0019,2026-01-01,2027-01-01,9500,quarterly,1,renewed,EMP-019
CON-00019,CLT-0020,2026-02-01,2027-02-01,9750,project,0,cancelled,EMP-020
CON-00020,CLT-0021,2026-03-01,2027-03-01,10000,annual,0,active,EMP-001
CON-00021,CLT-0022,2026-04-01,2027-04-01,10250,monthly,1,expiring,EMP-002
CON-00022,CLT-0023,2026-05-01,2027-05-01,10500,quarterly,0,renewed,EMP-003
CON-00023,CLT-0024,2026-06-01,2027-06-01,10750,project,0,cancelled,EMP-004
CON-00024,CLT-0025,2026-07-01,2027-07-01,11000,annual,1,active,EMP-005
CON-00025,CLT-0026,2026-08-01,2027-08-01,11250,monthly,0,expiring,EMP-006
CON-00026,CLT-0027,2026-09-01,2027-09-01,11500,quarterly,0,renewed,EMP-007
CON-00027,CLT-0028,2026-01-01,2027-01-01,11750,project,1,cancelled,EMP-008
CON-00028,CLT-0029,2026-02-01,2027-02-01,12000,annual,0,active,EMP-009
CON-00029,CLT-0030,2026-03-01,2027-03-01,12250,monthly,0,expiring,EMP-010
CON-00030,CLT-0031,2026-04-01,2027-04-01,12500,quarterly,1,renewed,EMP-011
CON-00031,CLT-0032,2026-05-01,2027-05-01,12750,project,0,cancelled,EMP-012
CON-00032,CLT-0033,2026-06-01,2027-06-01,13000,annual,0,active,EMP-013
CON-00033,CLT-0034,2026-07-01,2027-07-01,13250,monthly,1,expiring,EMP-014
CON-00034,CLT-0035,2026-08-01,2027-08-01,13500,quarterly,0,renewed,EMP-015
CON-00035,CLT-0036,2026-09-01,2027-09-01,13750,project,0,cancelled,EMP-016
CON-00036,CLT-0037,2026-01-01,2027-01-01,14000,annual,1,active,EMP-017
CON-00037,CLT-0038,2026-02-01,2027-02-01,14250,monthly,0,expiring,EMP-018
CON-00038,CLT-0039,2026-03-01,2027-03-01,14500,quarterly,0,renewed,EMP-019
CON-00039,CLT-0040,2026-04-01,2027-04-01,14750,project,1,cancelled,EMP-020
CON-00040,CLT-0041,2026-05-01,2027-05-01,15000,annual,0,active,EMP-001
CON-00041,CLT-0042,2026-06-01,2027-06-01,15250,monthly,0,expiring,EMP-002
CON-00042,CLT-0043,2026-07-01,2027-07-01,15500,quarterly,1,renewed,EMP-003
CON-00043,CLT-0044,2026-08-01,2027-08-01,15750,project,0,cancelled,EMP-004
CON-00044,CLT-0045,2026-09-01,2027-09-01,16000,annual,0,active,EMP-005
CON-00045,CLT-0046,2026-01-01,2027-01-01,16250,monthly,1,expiring,EMP-006
CON-00046,CLT-0047,2026-02-01,2027-02-01,16500,quarterly,0,renewed,EMP-007
CON-00047,CLT-0048,2026-03-01,2027-03-01,16750,project,0,cancelled,EMP-008
CON-00048,CLT-0049,2026-04-01,2027-04-01,17000,annual,1,active,EMP-009
CON-00049,CLT-0050,2026-05-01,2027-05-01,17250,monthly,0,expiring,EMP-010
CON-00050,CLT-0051,2026-06-01,2027-06-01,17500,quarterly,0,renewed,EMP-011
CON-00051,CLT-0052,2026-07-01,2027-07-01,17750,project,1,cancelled,EMP-012
CON-00052,CLT-0053,2026-08-01,2027-08-01,18000,annual,0,active,EMP-013
CON-00053,CLT-0054,2026-09-01,2027-09-01,18250,monthly,0,expiring,EMP-014
CON-00054,CLT-0055,2026-01-01,2027-01-01,18500,quarterly,1,renewed,EMP-015
CON-00055,CLT-0056,2026-02-01,2027-02-01,18750,project,0,cancelled,EMP-016
CON-00056,CLT-0057,2026-03-01,2027-03-01,19000,annual,0,active,EMP-017
CON-00057,CLT-0058,2026-04-01,2027-04-01,19250,monthly,1,expiring,EMP-018
CON-00058,CLT-0059,2026-05-01,2027-05-01,19500,quarterly,0,renewed,EMP-019
CON-00059,CLT-0060,2026-06-01,2027-06-01,19750,project,0,cancelled,EMP-020
CON-00060,CLT-0061,2026-07-01,2027-07-01,20000,annual,1,active,EMP-001
CON-00061,CLT-0062,2026-08-01,2027-08-01,20250,monthly,0,expiring,EMP-002
CON-00062,CLT-0063,2026-09-01,2027-09-01,20500,quarterly,0,renewed,EMP-003
CON-00063,CLT-0064,2026-01-01,2027-01-01,20750,project,1,cancelled,EMP-004
CON-00064,CLT-0065,2026-02-01,2027-02-01,21000,annual,0,active,EMP-005
CON-00065,CLT-0066,2026-03-01,2027-03-01,21250,monthly,0,expiring,EMP-006
CON-00066,CLT-0067,2026-04-01,2027-04-01,21500,quarterly,1,renewed,EMP-007
CON-00067,CLT-0068,2026-05-01,2027-05-01,21750,project,0,cancelled,EMP-008
CON-00068,CLT-0069,2026-06-01,2027-06-01,22000,annual,0,active,EMP-009
CON-00069,CLT-0070,2026-07-01,2027-07-01,22250,monthly,1,expiring,EMP-010
CON-00070,CLT-0071,2026-08-01,2027-08-01,22500,quarterly,0,renewed,EMP-011
CON-00071,CLT-0072,2026-09-01,2027-09-01,22750,project,0,cancelled,EMP-012
CON-00072,CLT-0073,2026-01-01,2027-01-01,23000,annual,1,active,EMP-013
CON-00073,CLT-0074,2026-02-01,2027-02-01,23250,monthly,0,expiring,EMP-014
CON-00074,CLT-0075,2026-03-01,2027-03-01,23500,quarterly,0,renewed,EMP-015
CON-00075,CLT-0076,2026-04-01,2027-04-01,23750,project,1,cancelled,EMP-016
CON-00076,CLT-0077,2026-05-01,2027-05-01,24000,annual,0,active,EMP-017
CON-00077,CLT-0078,2026-06-01,2027-06-01,24250,monthly,0,expiring,EMP-018
CON-00078,CLT-0079,2026-07-01,2027-07-01,24500,quarterly,1,renewed,EMP-019
CON-00079,CLT-0080,2026-08-01,2027-08-01,24750,project,0,cancelled,EMP-020
CON-00080,CLT-0081,2026-09-01,2027-09-01,25000,annual,0,active,EMP-001
CON-00081,CLT-0082,2026-01-01,2027-01-01,25250,monthly,1,expiring,EMP-002
CON-00082,CLT-0083,2026-02-01,2027-02-01,25500,quarterly,0,renewed,EMP-003
CON-00083,CLT-0084,2026-03-01,2027-03-01,25750,project,0,cancelled,EMP-004
CON-00084,CLT-0085,2026-04-01,2027-04-01,26000,annual,1,active,EMP-005
CON-00085,CLT-0086,2026-05-01,2027-05-01,26250,monthly,0,expiring,EMP-006
CON-00086,CLT-0087,2026-06-01,2027-06-01,26500,quarterly,0,renewed,EMP-007
CON-00087,CLT-0088,2026-07-01,2027-07-01,26750,project,1,cancelled,EMP-008
CON-00088,CLT-0089,2026-08-01,2027-08-01,27000,annual,0,active,EMP-009
CON-00089,CLT-0090,2026-09-01,2027-09-01,27250,monthly,0,expiring,EMP-010
CON-00090,CLT-0091,2026-01-01,2027-01-01,27500,quarterly,1,renewed,EMP-011
CON-00091,CLT-0092,2026-02-01,2027-02-01,27750,project,0,cancelled,EMP-012
CON-00092,CLT-0093,2026-03-01,2027-03-01,28000,annual,0,active,EMP-013
CON-00093,CLT-0094,2026-04-01,2027-04-01,28250,monthly,1,expiring,EMP-014
CON-00094,CLT-0095,2026-05-01,2027-05-01,28500,quarterly,0,renewed,EMP-015
CON-00095,CLT-0096,2026-06-01,2027-06-01,28750,project,0,cancelled,EMP-016
CON-00096,CLT-0097,2026-07-01,2027-07-01,29000,annual,1,active,EMP-017
CON-00097,CLT-0098,2026-08-01,2027-08-01,29250,monthly,0,expiring,EMP-018
CON-00098,CLT-0099,2026-09-01,2027-09-01,29500,quarterly,0,renewed,EMP-019
CON-00099,CLT-0100,2026-01-01,2027-01-01,29750,project,1,cancelled,EMP-020
CON-00100,CLT-0101,2026-02-01,2027-02-01,30000,annual,0,active,EMP-001
CON-00101,CLT-0102,2026-03-01,2027-03-01,30250,monthly,0,expiring,EMP-002
CON-00102,CLT-0103,2026-04-01,2027-04-01,30500,quarterly,1,renewed,EMP-003
CON-00103,CLT-0104,2026-05-01,2027-05-01,30750,project,0,cancelled,EMP-004
CON-00104,CLT-0105,2026-06-01,2027-06-01,31000,annual,0,active,EMP-005
CON-00105,CLT-0106,2026-07-01,2027-07-01,31250,monthly,1,expiring,EMP-006
CON-00106,CLT-0107,2026-08-01,2027-08-01,31500,quarterly,0,renewed,EMP-007
CON-00107,CLT-0108,2026-09-01,2027-09-01,31750,project,0,cancelled,EMP-008
CON-00108,CLT-0109,2026-01-01,2027-01-01,32000,annual,1,active,EMP-009
CON-00109,CLT-0110,2026-02-01,2027-02-01,32250,monthly,0,expiring,EMP-010
CON-00110,CLT-0111,2026-03-01,2027-03-01,32500,quarterly,0,renewed,EMP-011
CON-00111,CLT-0112,2026-04-01,2027-04-01,32750,project,1,cancelled,EMP-012
CON-00112,CLT-0113,2026-05-01,2027-05-01,33000,annual,0,active,EMP-013
CON-00113,CLT-0114,2026-06-01,2027-06-01,33250,monthly,0,expiring,EMP-014
CON-00114,CLT-0115,2026-07-01,2027-07-01,33500,quarterly,1,renewed,EMP-015
CON-00115,CLT-0116,2026-08-01,2027-08-01,33750,project,0,cancelled,EMP-016
CON-00116,CLT-0117,2026-09-01,2027-09-01,34000,annual,0,active,EMP-017
CON-00117,CLT-0118,2026-01-01,2027-01-01,34250,monthly,1,expiring,EMP-018
CON-00118,CLT-0119,2026-02-01,2027-02-01,34500,quarterly,0,renewed,EMP-019
CON-00119,CLT-0120,2026-03-01,2027-03-01,34750,project,0,cancelled,EMP-020
CON-00120,CLT-0121,2026-04-01,2027-04-01,35000,annual,1,active,EMP-001
CON-00121,CLT-0122,2026-05-01,2027-05-01,35250,monthly,0,expiring,EMP-002
CON-00122,CLT-0123,2026-06-01,2027-06-01,35500,quarterly,0,renewed,EMP-003
CON-00123,CLT-0124,2026-07-01,2027-07-01,35750,project,1,cancelled,EMP-004
CON-00124,CLT-0125,2026-08-01,2027-08-01,36000,annual,0,active,EMP-005
CON-00125,CLT-0126,2026-09-01,2027-09-01,36250,monthly,0,expiring,EMP-006
CON-00126,CLT-0127,2026-01-01,2027-01-01,36500,quarterly,1,renewed,EMP-007
CON-00127,CLT-0128,2026-02-01,2027-02-01,36750,project,0,cancelled,EMP-008
CON-00128,CLT-0129,2026-03-01,2027-03-01,37000,annual,0,active,EMP-009
CON-00129,CLT-0130,2026-04-01,2027-04-01,37250,monthly,1,expiring,EMP-010
CON-00130,CLT-0131,2026-05-01,2027-05-01,37500,quarterly,0,renewed,EMP-011
CON-00131,CLT-0132,2026-06-01,2027-06-01,37750,project,0,cancelled,EMP-012
CON-00132,CLT-0133,2026-07-01,2027-07-01,38000,annual,1,active,EMP-013
CON-00133,CLT-0134,2026-08-01,2027-08-01,38250,monthly,0,expiring,EMP-014
CON-00134,CLT-0135,2026-09-01,2027-09-01,38500,quarterly,0,renewed,EMP-015
CON-00135,CLT-0136,2026-01-01,2027-01-01,38750,project,1,cancelled,EMP-016
CON-00136,CLT-0137,2026-02-01,2027-02-01,39000,annual,0,active,EMP-017
CON-00137,CLT-0138,2026-03-01,2027-03-01,39250,monthly,0,expiring,EMP-018
CON-00138,CLT-0139,2026-04-01,2027-04-01,39500,quarterly,1,renewed,EMP-019
CON-00139,CLT-0140,2026-05-01,2027-05-01,39750,project,0,cancelled,EMP-020
CON-00140,CLT-0141,2026-06-01,2027-06-01,40000,annual,0,active,EMP-001
CON-00141,CLT-0142,2026-07-01,2027-07-01,40250,monthly,1,expiring,EMP-002
CON-00142,CLT-0143,2026-08-01,2027-08-01,40500,quarterly,0,renewed,EMP-003
CON-00143,CLT-0144,2026-09-01,2027-09-01,40750,project,0,cancelled,EMP-004
CON-00144,CLT-0145,2026-01-01,2027-01-01,41000,annual,1,active,EMP-005
CON-00145,CLT-0146,2026-02-01,2027-02-01,41250,monthly,0,expiring,EMP-006
CON-00146,CLT-0147,2026-03-01,2027-03-01,41500,quarterly,0,renewed,EMP-007
CON-00147,CLT-0148,2026-04-01,2027-04-01,41750,project,1,cancelled,EMP-008
CON-00148,CLT-0149,2026-05-01,2027-05-01,42000,annual,0,active,EMP-009
CON-00149,CLT-0150,2026-06-01,2027-06-01,42250,monthly,0,expiring,EMP-010
CON-00150,CLT-0151,2026-07-01,2027-07-01,42500,quarterly,1,renewed,EMP-011
CON-00151,CLT-0152,2026-08-01,2027-08-01,42750,project,0,cancelled,EMP-012
CON-00152,CLT-0153,2026-09-01,2027-09-01,43000,annual,0,active,EMP-013
CON-00153,CLT-0154,2026-01-01,2027-01-01,43250,monthly,1,expiring,EMP-014
CON-00154,CLT-0155,2026-02-01,2027-02-01,43500,quarterly,0,renewed,EMP-015
CON-00155,CLT-0156,2026-03-01,2027-03-01,43750,project,0,cancelled,EMP-016
CON-00156,CLT-0157,2026-04-01,2027-04-01,44000,annual,1,active,EMP-017
CON-00157,CLT-0158,2026-05-01,2027-05-01,44250,monthly,0,expiring,EMP-018
CON-00158,CLT-0159,2026-06-01,2027-06-01,44500,quarterly,0,renewed,EMP-019
CON-00159,CLT-0160,2026-07-01,2027-07-01,44750,project,1,cancelled,EMP-020
CON-00160,CLT-0161,2026-08-01,2027-08-01,45000,annual,0,active,EMP-001
CON-00161,CLT-0162,2026-09-01,2027-09-01,45250,monthly,0,expiring,EMP-002
CON-00162,CLT-0163,2026-01-01,2027-01-01,45500,quarterly,1,renewed,EMP-003
CON-00163,CLT-0164,2026-02-01,2027-02-01,45750,project,0,cancelled,EMP-004
CON-00164,CLT-0165,2026-03-01,2027-03-01,46000,annual,0,active,EMP-005
CON-00165,CLT-0166,2026-04-01,2027-04-01,46250,monthly,1,expiring,EMP-006
CON-00166,CLT-0167,2026-05-01,2027-05-01,46500,quarterly,0,renewed,EMP-007
CON-00167,CLT-0168,2026-06-01,2027-06-01,46750,project,0,cancelled,EMP-008
CON-00168,CLT-0169,2026-07-01,2027-07-01,47000,annual,1,active,EMP-009
CON-00169,CLT-0170,2026-08-01,2027-08-01,47250,monthly,0,expiring,EMP-010
CON-00170,CLT-0171,2026-09-01,2027-09-01,47500,quarterly,0,renewed,EMP-011
CON-00171,CLT-0172,2026-01-01,2027-01-01,47750,project,1,cancelled,EMP-012
CON-00172,CLT-0173,2026-02-01,2027-02-01,48000,annual,0,active,EMP-013
CON-00173,CLT-0174,2026-03-01,2027-03-01,48250,monthly,0,expiring,EMP-014
CON-00174,CLT-0175,2026-04-01,2027-04-01,48500,quarterly,1,renewed,EMP-015
CON-00175,CLT-0176,2026-05-01,2027-05-01,48750,project,0,cancelled,EMP-016
CON-00176,CLT-0177,2026-06-01,2027-06-01,49000,annual,0,active,EMP-017
CON-00177,CLT-0178,2026-07-01,2027-07-01,49250,monthly,1,expiring,EMP-018
CON-00178,CLT-0179,2026-08-01,2027-08-01,49500,quarterly,0,renewed,EMP-019
CON-00179,CLT-0180,2026-09-01,2027-09-01,49750,project,0,cancelled,EMP-020
CON-00180,CLT-0181,2026-01-01,2027-01-01,50000,annual,1,active,EMP-001
CON-00181,CLT-0182,2026-02-01,2027-02-01,50250,monthly,0,expiring,EMP-002
CON-00182,CLT-0183,2026-03-01,2027-03-01,50500,quarterly,0,renewed,EMP-003
CON-00183,CLT-0184,2026-04-01,2027-04-01,50750,project,1,cancelled,EMP-004
CON-00184,CLT-0185,2026-05-01,2027-05-01,51000,annual,0,active,EMP-005
CON-00185,CLT-0186,2026-06-01,2027-06-01,51250,monthly,0,expiring,EMP-006
CON-00186,CLT-0187,2026-07-01,2027-07-01,51500,quarterly,1,renewed,EMP-007
CON-00187,CLT-0188,2026-08-01,2027-08-01,51750,project,0,cancelled,EMP-008
CON-00188,CLT-0189,2026-09-01,2027-09-01,52000,annual,0,active,EMP-009
CON-00189,CLT-0190,2026-01-01,2027-01-01,52250,monthly,1,expiring,EMP-010
CON-00190,CLT-0191,2026-02-01,2027-02-01,52500,quarterly,0,renewed,EMP-011
CON-00191,CLT-0192,2026-03-01,2027-03-01,52750,project,0,cancelled,EMP-012
CON-00192,CLT-0193,2026-04-01,2027-04-01,53000,annual,1,active,EMP-013
CON-00193,CLT-0194,2026-05-01,2027-05-01,53250,monthly,0,expiring,EMP-014
CON-00194,CLT-0195,2026-06-01,2027-06-01,53500,quarterly,0,renewed,EMP-015
CON-00195,CLT-0196,2026-07-01,2027-07-01,53750,project,1,cancelled,EMP-016
CON-00196,CLT-0197,2026-08-01,2027-08-01,54000,annual,0,active,EMP-017
CON-00197,CLT-0198,2026-09-01,2027-09-01,54250,monthly,0,expiring,EMP-018
CON-00198,CLT-0199,2026-01-01,2027-01-01,54500,quarterly,1,renewed,EMP-019
CON-00199,CLT-0200,2026-02-01,2027-02-01,54750,project,0,cancelled,EMP-020
CON-00200,CLT-0201,2026-03-01,2027-03-01,55000,annual,0,active,EMP-001
CON-00201,CLT-0202,2026-04-01,2027-04-01,55250,monthly,1,expiring,EMP-002
CON-00202,CLT-0203,2026-05-01,2027-05-01,55500,quarterly,0,renewed,EMP-003
CON-00203,CLT-0204,2026-06-01,2027-06-01,55750,project,0,cancelled,EMP-004
CON-00204,CLT-0205,2026-07-01,2027-07-01,56000,annual,1,active,EMP-005
CON-00205,CLT-0206,2026-08-01,2027-08-01,56250,monthly,0,expiring,EMP-006
CON-00206,CLT-0207,2026-09-01,2027-09-01,56500,quarterly,0,renewed,EMP-007
CON-00207,CLT-0208,2026-01-01,2027-01-01,56750,project,1,cancelled,EMP-008
CON-00208,CLT-0209,2026-02-01,2027-02-01,57000,annual,0,active,EMP-009
CON-00209,CLT-0210,2026-03-01,2027-03-01,57250,monthly,0,expiring,EMP-010
CON-00210,CLT-0211,2026-04-01,2027-04-01,57500,quarterly,1,renewed,EMP-011
CON-00211,CLT-0212,2026-05-01,2027-05-01,57750,project,0,cancelled,EMP-012
CON-00212,CLT-0213,2026-06-01,2027-06-01,58000,annual,0,active,EMP-013
CON-00213,CLT-0214,2026-07-01,2027-07-01,58250,monthly,1,expiring,EMP-014
CON-00214,CLT-0215,2026-08-01,2027-08-01,58500,quarterly,0,renewed,EMP-015
CON-00215,CLT-0216,2026-09-01,2027-09-01,58750,project,0,cancelled,EMP-016
CON-00216,CLT-0217,2026-01-01,2027-01-01,59000,annual,1,active,EMP-017
CON-00217,CLT-0218,2026-02-01,2027-02-01,59250,monthly,0,expiring,EMP-018
