asset_id,name,serial_number,purchase_date,warranty_expiry,last_service,next_service,status,assigned_to,location
AST-00001,Equipment 1,SN-00000001,2021-02-02,2028-02-02,2026-02-02,2026-8-02,maintenance,EMP-002,Building 2 Room 2
AST-00002,Equipment 2,SN-00000002,2022-03-03,2029-03-03,2026-03-03,2026-9-03,retired,EMP-003,Building 3 Room 3
AST-00003,Equipment 3,SN-00000003,2023-04-04,20210-04-04,2026-04-04,2026-10-04,standby,EMP-004,Building 4 Room 4
AST-00004,Equipment 4,SN-00000004,2024-05-05,20211-05-05,2026-05-05,2026-11-05,active,EMP-005,Building 5 Room 5
AST-00005,Equipment 5,SN-00000005,2025-06-06,2027-06-06,2026-06-06,2026-12-06,maintenance,EMP-006,Building 1 Room 6
AST-00006,Equipment 6,SN-00000006,2026-07-07,2028-07-07,2026-07-07,2026-7-07,retired,EMP-007,Building 2 Room 7
AST-00007,Equipment 7,SN-00000007,2020-08-08,2029-08-08,2026-08-08,2026-8-08,standby,EMP-008,Building 3 Room 8
AST-00008,Equipment 8,SN-00000008,2021-09-09,20210-09-09,2026-09-09,2026-9-09,active,EMP-009,Building 4 Room 9
AST-00009,Equipment 9,SN-00000009,2022-01-10,20211-01-10,2026-01-10,2026-10-10,maintenance,EMP-010,Building 5 Room 10
AST-00010,Equipment 10,SN-00000010,2023-02-11,2027-02-11,2026-02-11,2026-11-11,retired,EMP-011,Building 1 Room 11
AST-00011,Equipment 11,SN-00000011,2024-03-12,2028-03-12,2026-03-12,2026-12-12,standby,EMP-012,Building 2 Room 12
AST-00012,Equipment 12,SN-00000012,2025-04-13,2029-04-13,2026-04-13,2026-7-13,active,EMP-013,Building 3 Room 13
AST-00013,Equipment 13,SN-00000013,2026-05-14,20210-05-14,2026-05-14,2026-8-14,maintenance,EMP-014,Building 4 Room 14
AST-00014,Equipment 14,SN-00000014,2020-06-15,20211-06-15,2026-06-15,2026-9-15,retired,EMP-015,Building 5 Room 15
AST-00015,Equipment 15,SN-00000015,2021-07-16,2027-07-16,2026-07-16,2026-10-16,standby,EMP-016,Building 1 Room 16
AST-00016,Equipment 16,SN-00000016,2022-08-17,2028-08-17,2026-08-17,2026-11-17,active,EMP-017,Building 2 Room 17
AST-00017,Equipment 17,SN-00000017,2023-09-18,2029-09-18,2026-09-18,2026-12-18,maintenance,EMP-018,Building 3 Room 18
AST-00018,Equipment 18,SN-00000018,2024-01-19,20210-01-19,2026-01-19,2026-7-19,retired,EMP-019,Building 4 Room 19
AST-00019,Equipment 19,SN-00000019,2025-02-20,20211-02-20,2026-02-20,2026-8-20,standby,EMP-020,Building 5 Room 20
AST-00020,Equipment 20,SN-00000020,2026-03-21,2027-03-21,2026-03-21,2026-9-21,active,EMP-021,Building 1 Room 1
AST-00021,Equipment 21,SN-00000021,2020-04-22,2028-04-22,2026-04-22,2026-10-22,maintenance,EMP-022,Building 2 Room 2
AST-00022,Equipment 22,SN-00000022,2021-05-23,2029-05-23,2026-05-23,2026-11-23,retired,EMP-023,Building 3 Room 3
AST-00023,Equipment 23,SN-00000023,2022-06-24,20210-06-24,2026-06-24,2026-12-24,standby,EMP-024,Building 4 Room 4
AST-00024,Equipment 24,SN-00000024,2023-07-25,20211-07-25,2026-07-25,2026-7-25,active,EMP-025,Building 5 Room 5
AST-00025,Equipment 25,SN-00000025,2024-08-26,2027-08-26,2026-08-26,2026-8-26,maintenance,EMP-026,Building 1 Room 6
AST-00026,Equipment 26,SN-00000026,2025-09-27,2028-09-27,2026-09-27,2026-9-27,retired,EMP-027,Building 2 Room 7
AST-00027,Equipment 27,SN-00000027,2026-01-28,2029-01-28,2026-01-28,2026-10-28,standby,EMP-028,Building 3 Room 8
AST-00028,Equipment 28,SN-00000028,2020-02-01,20210-02-01,2026-02-01,2026-11-01,active,EMP-029,Building 4 Room 9
AST-00029,Equipment 29,SN-00000029,2021-03-02,20211-03-02,2026-03-02,2026-12-02,maintenance,EMP-030,Building 5 Room 10
AST-00030,Equipment 30,SN-00000030,2022-04-03,2027-04-03,2026-04-03,2026-7-03,retired,EMP-031,Building 1 Room 11
AST-00031,Equipment 31,SN-00000031,2023-05-04,2028-05-04,2026-05-04,2026-8-04,standby,EMP-032,Building 2 Room 12
AST-00032,Equipment 32,SN-00000032,2024-06-05,2029-06-05,2026-06-05,2026-9-05,active,EMP-033,Building 3 Room 13
AST-00033,Equipment 33,SN-00000033,2025-07-06,20210-07-06,2026-07-06,2026-10-06,maintenance,EMP-034,Building 4 Room 14
AST-00034,Equipment 34,SN-00000034,2026-08-07,20211-08-07,2026-08-07,2026-11-07,retired,EMP-035,Building 5 Room 15
AST-00035,Equipment 35,SN-00000035,2020-09-08,2027-09-08,2026-09-08,2026-12-08,standby,EMP-036,Building 1 Room 16
AST-00036,Equipment 36,SN-00000036,2021-01-09,2028-01-09,2026-01-09,2026-7-09,active,EMP-037,Building 2 Room 17
AST-00037,Equipment 37,SN-00000037,2022-02-10,2029-02-10,2026-02-10,2026-8-10,maintenance,EMP-038,Building 3 Room 18
AST-00038,Equipment 38,SN-00000038,2023-03-11,20210-03-11,2026-03-11,2026-9-11,retired,EMP-039,Building 4 Room 19
AST-00039,Equipment 39,SN-00000039,2024-04-12,20211-04-12,2026-04-12,2026-10-12,standby,EMP-040,Building 5 Room 20
AST-00040,Equipment 40,SN-00000040,2025-05-13,2027-05-13,2026-05-13,2026-11-13,active,EMP-041,Building 1 Room 1
AST-00041,Equipment 41,SN-00000041,2026-06-14,2028-06-14,2026-06-14,2026-12-14,maintenance,EMP-042,Building 2 Room 2
AST-00042,Equipment 42,SN-00000042,2020-07-15,2029-07-15,2026-07-15,2026-7-15,retired,EMP-043,Building 3 Room 3
AST-00043,Equipment 43,SN-00000043,2021-08-16,20210-08-16,2026-08-16,2026-8-16,standby,EMP-044,Building 4 Room 4
AST-00044,Equipment 44,SN-00000044,2022-09-17,20211-09-17,2026-09-17,2026-9-17,active,EMP-045,Building 5 Room 5
AST-00045,Equipment 45,SN-00000045,2023-01-18,2027-01-18,2026-01-18,2026-10-18,maintenance,EMP-046,Building 1 Room 6
AST-00046,Equipment 46,SN-00000046,2024-02-19,2028-02-19,2026-02-19,2026-11-19,retired,EMP-047,Building 2 Room 7
AST-00047,Equipment 47,SN-00000047,2025-03-20,2029-03-20,2026-03-20,2026-12-20,standby,EMP-048,Building 3 Room 8
AST-00048,Equipment 48,SN-00000048,2026-04-21,20210-04-21,2026-04-21,2026-7-21,active,EMP-049,Building 4 Room 9
AST-00049,Equipment 49,SN-00000049,2020-05-22,20211-05-22,2026-05-22,2026-8-22,maintenance,EMP-050,Building 5 Room 10
AST-00050,Equipment 50,SN-00000050,2021-06-23,2027-06-23,2026-06-23,2026-9-23,retired,EMP-001,Building 1 Room 11
AST-00051,Equipment 51,SN-00000051,2022-07-24,2028-07-24,2026-07-24,2026-10-24,standby,EMP-002,Building 2 Room 12
AST-00052,Equipment 52,SN-00000052,2023-08-25,2029-08-25,2026-08-25,2026-11-25,active,EMP-003,Building 3 Room 13
AST-00053,Equipment 53,SN-00000053,2024-09-26,20210-09-26,2026-09-26,2026-12-26,maintenance,EMP-004,Building 4 Room 14
AST-00054,Equipment 54,SN-00000054,2025-01-27,20211-01-27,2026-01-27,2026-7-27,retired,EMP-005,Building 5 Room 15
AST-00055,Equipment 55,SN-00000055,2026-02-28,2027-02-28,2026-02-28,2026-8-28,standby,EMP-006,Building 1 Room 16
AST-00056,Equipment 56,SN-00000056,2020-03-01,2028-03-01,2026-03-01,2026-9-01,active,EMP-007,Building 2 Room 17
AST-00057,Equipment 57,SN-00000057,2021-04-02,2029-04-02,2026-04-02,2026-10-02,maintenance,EMP-008,Building 3 Room 18
AST-00058,Equipment 58,SN-00000058,2022-05-03,20210-05-03,2026-05-03,2026-11-03,retired,EMP-009,Building 4 Room 19
AST-00059,Equipment 59,SN-00000059,2023-06-04,20211-06-04,2026-06-04,2026-12-04,standby,EMP-010,Building 5 Room 20
AST-00060,Equipment 60,SN-00000060,2024-07-05,2027-07-05,2026-07-05,2026-7-05,active,EMP-011,Building 1 Room 1
AST-00061,Equipment 61,SN-00000061,2025-08-06,2028-08-06,2026-08-06,2026-8-06,maintenance,EMP-012,Building 2 Room 2
AST-00062,Equipment 62,SN-00000062,2026-09-07,2029-09-07,2026-09-07,2026-9-07,retired,EMP-013,Building 3 Room 3
AST-00063,Equipment 63,SN-00000063,2020-01-08,20210-01-08,2026-01-08,2026-10-08,standby,EMP-014,Building 4 Room 4
AST-00064,Equipment 64,SN-00000064,2021-02-09,20211-02-09,2026-02-09,2026-11-09,active,EMP-015,Building 5 Room 5
AST-00065,Equipment 65,SN-00000065,2022-03-10,2027-03-10,2026-03-10,2026-12-10,maintenance,EMP-016,Building 1 Room 6
AST-00066,Equipment 66,SN-00000066,2023-04-11,2028-04-11,2026-04-11,2026-7-11,retired,EMP-017,Building 2 Room 7
AST-00067,Equipment 67,SN-00000067,2024-05-12,2029-05-12,2026-05-12,2026-8-12,standby,EMP-018,Building 3 Room 8
AST-00068,Equipment 68,SN-00000068,2025-06-13,20210-06-13,2026-06-13,2026-9-13,active,EMP-019,Building 4 Room 9
