sku,name,category,qty,unit_cost,total_value,reorder_point,supplier,last_ordered,location
SKU-00001,Item Name 1,tools,3,11.1,130,6,Supplier 2,2026-02-02,Warehouse-2-Aisle-2
SKU-00002,Item Name 2,supplies,6,12.2,160,7,Supplier 3,2026-03-03,Warehouse-3-Aisle-3
SKU-00003,Item Name 3,equipment,9,13.3,190,8,Supplier 4,2026-04-04,Warehouse-4-Aisle-4
SKU-00004,Item Name 4,safety,12,14.4,220,9,Supplier 5,2026-05-05,Warehouse-5-Aisle-5
SKU-00005,Item Name 5,parts,15,15.5,250,10,Supplier 6,2026-06-06,Warehouse-1-Aisle-6
SKU-00006,Item Name 6,tools,18,16.6,280,11,Supplier 7,2026-07-07,Warehouse-2-Aisle-7
SKU-00007,Item Name 7,supplies,21,17.7,310,12,Supplier 8,2026-08-08,Warehouse-3-Aisle-8
SKU-00008,Item Name 8,equipment,24,18.8,340,13,Supplier 9,2026-09-09,Warehouse-4-Aisle-9
SKU-00009,Item Name 9,safety,27,19.9,370,14,Supplier 10,2026-01-10,Warehouse-5-Aisle-10
SKU-00010,Item Name 10,parts,30,20.10,400,15,Supplier 1,2026-02-11,Warehouse-1-Aisle-11
SKU-00011,Item Name 11,tools,33,21.11,430,16,Supplier 2,2026-03-12,Warehouse-2-Aisle-12
SKU-00012,Item Name 12,supplies,36,22.12,460,17,Supplier 3,2026-04-13,Warehouse-3-Aisle-13
SKU-00013,Item Name 13,equipment,39,23.13,490,18,Supplier 4,2026-05-14,Warehouse-4-Aisle-14
SKU-00014,Item Name 14,safety,42,24.14,520,19,Supplier 5,2026-06-15,Warehouse-5-Aisle-15
SKU-00015,Item Name 15,parts,45,25.15,550,20,Supplier 6,2026-07-16,Warehouse-1-Aisle-16
SKU-00016,Item Name 16,tools,48,26.16,580,21,Supplier 7,2026-08-17,Warehouse-2-Aisle-17
SKU-00017,Item Name 17,supplies,51,27.17,610,22,Supplier 8,2026-09-18,Warehouse-3-Aisle-18
SKU-00018,Item Name 18,equipment,54,28.18,640,23,Supplier 9,2026-01-19,Warehouse-4-Aisle-19
SKU-00019,Item Name 19,safety,57,29.19,670,24,Supplier 10,2026-02-20,Warehouse-5-Aisle-20
SKU-00020,Item Name 20,parts,60,30.20,700,5,Supplier 1,2026-03-21,Warehouse-1-Aisle-1
SKU-00021,Item Name 21,tools,63,31.21,730,6,Supplier 2,2026-04-22,Warehouse-2-Aisle-2
SKU-00022,Item Name 22,supplies,66,32.22,760,7,Supplier 3,2026-05-23,Warehouse-3-Aisle-3
SKU-00023,Item Name 23,equipment,69,33.23,790,8,Supplier 4,2026-06-24,Warehouse-4-Aisle-4
SKU-00024,Item Name 24,safety,72,34.24,820,9,Supplier 5,2026-07-25,Warehouse-5-Aisle-5
SKU-00025,Item Name 25,parts,75,35.25,850,10,Supplier 6,2026-08-26,Warehouse-1-Aisle-6
SKU-00026,Item Name 26,tools,78,36.26,880,11,Supplier 7,2026-09-27,Warehouse-2-Aisle-7
SKU-00027,Item Name 27,supplies,81,37.27,910,12,Supplier 8,2026-01-28,Warehouse-3-Aisle-8
