service_id,service_name,category,duration_minutes,rate,technician_level,requires_inspection,seasonal
SRV-0001,Service Type 1,repair,31,104.1,2,0,0
SRV-0002,Service Type 2,installation,32,109.2,3,1,0
SRV-0003,Service Type 3,inspection,33,114.3,1,0,1
SRV-0004,Service Type 4,emergency,34,119.4,2,1,0
SRV-0005,Service Type 5,maintenance,35,124.5,3,0,0
SRV-0006,Service Type 6,repair,36,129.6,1,1,1
SRV-0007,Service Type 7,installation,37,134.7,2,0,0
SRV-0008,Service Type 8,inspection,38,139.8,3,1,0
SRV-0009,Service Type 9,emergency,39,144.9,1,0,1
SRV-0010,Service Type 10,maintenance,40,149.10,2,1,0
SRV-0011,Service Type 11,repair,41,154.11,3,0,0
SRV-0012,Service Type 12,installation,42,159.12,1,1,1
SRV-0013,Service Type 13,inspection,43,164.13,2,0,0
SRV-0014,Service Type 14,emergency,44,169.14,3,1,0
SRV-0015,Service Type 15,maintenance,45,174.15,1,0,1
SRV-0016,Service Type 16,repair,46,179.16,2,1,0
SRV-0017,Service Type 17,installation,47,184.17,3,0,0
SRV-0018,Service Type 18,inspection,48,189.18,1,1,1
SRV-0019,Service Type 19,emergency,49,194.19,2,0,0
SRV-0020,Service Type 20,maintenance,50,199.20,3,1,0
SRV-0021,Service Type 21,repair,51,204.21,1,0,1
SRV-0022,Service Type 22,installation,52,209.22,2,1,0
SRV-0023,Service Type 23,inspection,53,214.23,3,0,0
SRV-0024,Service Type 24,emergency,54,219.24,1,1,1
SRV-0025,Service Type 25,maintenance,55,224.25,2,0,0
SRV-0026,Service Type 26,repair,56,229.26,3,1,0
SRV-0027,Service Type 27,installation,57,234.27,1,0,1
SRV-0028,Service Type 28,inspection,58,239.28,2,1,0
SRV-0029,Service Type 29,emergency,59,244.29,3,0,0
SRV-0030,Service Type 30,maintenance,60,249.30,1,1,1
SRV-0031,Service Type 31,repair,61,254.31,2,0,0
SRV-0032,Service Type 32,installation,62,259.32,3,1,0
SRV-0033,Service Type 33,inspection,63,264.33,1,0,1
SRV-0034,Service Type 34,emergency,64,269.34,2,1,0
SRV-0035,Service Type 35,maintenance,65,274.35,3,0,0
SRV-0036,Service Type 36,repair,66,279.36,1,1,1
SRV-0037,Service Type 37,installation,67,284.37,2,0,0
SRV-0038,Service Type 38,inspection,68,289.38,3,1,0
