entry_id,employee_id,date,clock_in,clock_out,total_hours,job_id,billable,approved
TS-00001,EMP-002,2026-02-02,08:00,16:00,8,JOB-0002,1,1
TS-00002,EMP-003,2026-03-03,09:00,18:00,9,JOB-0003,1,1
TS-00003,EMP-004,2026-04-04,010:00,17:00,7,JOB-0004,1,1
TS-00004,EMP-005,2026-05-05,07:00,15:00,8,JOB-0005,1,1
TS-00005,EMP-006,2026-06-06,08:00,17:00,9,JOB-0006,0,1
TS-00006,EMP-007,2026-07-07,09:00,16:00,7,JOB-0007,1,1
TS-00007,EMP-008,2026-08-08,010:00,18:00,8,JOB-0008,1,0
TS-00008,EMP-009,2026-09-09,07:00,16:00,9,JOB-0009,1,1
TS-00009,EMP-010,2026-01-10,08:00,15:00,7,JOB-0010,1,1
TS-00010,EMP-011,2026-02-11,09:00,17:00,8,JOB-0011,0,1
TS-00011,EMP-012,2026-03-12,010:00,19:00,9,JOB-0012,1,1
TS-00012,EMP-013,2026-04-13,07:00,14:00,7,JOB-0013,1,1
TS-00013,EMP-014,2026-05-14,08:00,16:00,8,JOB-0014,1,1
TS-00014,EMP-015,2026-06-15,09:00,18:00,9,JOB-0015,1,0
TS-00015,EMP-016,2026-07-16,010:00,17:00,7,JOB-0016,0,1
TS-00016,EMP-017,2026-08-17,07:00,15:00,8,JOB-0017,1,1
TS-00017,EMP-018,2026-09-18,08:00,17:00,9,JOB-0018,1,1
TS-00018,EMP-019,2026-01-19,09:00,16:00,7,JOB-0019,1,1
TS-00019,EMP-020,2026-02-20,010:00,18:00,8,JOB-0020,1,1
TS-00020,EMP-021,2026-03-21,07:00,16:00,9,JOB-0021,0,1
TS-00021,EMP-022,2026-04-22,08:00,15:00,7,JOB-0022,1,0
TS-00022,EMP-023,2026-05-23,09:00,17:00,8,JOB-0023,1,1
TS-00023,EMP-024,2026-06-24,010:00,19:00,9,JOB-0024,1,1
TS-00024,EMP-025,2026-07-25,07:00,14:00,7,JOB-0025,1,1
TS-00025,EMP-026,2026-08-26,08:00,16:00,8,JOB-0026,0,1
TS-00026,EMP-027,2026-09-27,09:00,18:00,9,JOB-0027,1,1
TS-00027,EMP-028,2026-01-28,010:00,17:00,7,JOB-0028,1,1
TS-00028,EMP-029,2026-02-01,07:00,15:00,8,JOB-0029,1,0
TS-00029,EMP-030,2026-03-02,08:00,17:00,9,JOB-0030,1,1
TS-00030,EMP-031,2026-04-03,09:00,16:00,7,JOB-0031,0,1
TS-00031,EMP-032,2026-05-04,010:00,18:00,8,JOB-0032,1,1
TS-00032,EMP-033,2026-06-05,07:00,16:00,9,JOB-0033,1,1
TS-00033,EMP-034,2026-07-06,08:00,15:00,7,JOB-0034,1,1
TS-00034,EMP-035,2026-08-07,09:00,17:00,8,JOB-0035,1,1
TS-00035,EMP-036,2026-09-08,010:00,19:00,9,JOB-0036,0,0
TS-00036,EMP-037,2026-01-09,07:00,14:00,7,JOB-0037,1,1
TS-00037,EMP-038,2026-02-10,08:00,16:00,8,JOB-0038,1,1
TS-00038,EMP-039,2026-03-11,09:00,18:00,9,JOB-0039,1,1
TS-00039,EMP-040,2026-04-12,010:00,17:00,7,JOB-0040,1,1
TS-00040,EMP-041,2026-05-13,07:00,15:00,8,JOB-0041,0,1
TS-00041,EMP-042,2026-06-14,08:00,17:00,9,JOB-0042,1,1
TS-00042,EMP-043,2026-07-15,09:00,16:00,7,JOB-0043,1,0
TS-00043,EMP-044,2026-08-16,010:00,18:00,8,JOB-0044,1,1
TS-00044,EMP-045,2026-09-17,07:00,16:00,9,JOB-0045,1,1
TS-00045,EMP-046,2026-01-18,08:00,15:00,7,JOB-0046,0,1
TS-00046,EMP-047,2026-02-19,09:00,17:00,8,JOB-0047,1,1
TS-00047,EMP-048,2026-03-20,010:00,19:00,9,JOB-0048,1,1
TS-00048,EMP-049,2026-04-21,07:00,14:00,7,JOB-0049,1,1
TS-00049,EMP-050,2026-05-22,08:00,16:00,8,JOB-0050,1,0
TS-00050,EMP-001,2026-06-23,09:00,18:00,9,JOB-0051,0,1
TS-00051,EMP-002,2026-07-24,010:00,17:00,7,JOB-0052,1,1
TS-00052,EMP-003,2026-08-25,07:00,15:00,8,JOB-0053,1,1
TS-00053,EMP-004,2026-09-26,08:00,17:00,9,JOB-0054,1,1
TS-00054,EMP-005,2026-01-27,09:00,16:00,7,JOB-0055,1,1
TS-00055,EMP-006,2026-02-28,010:00,18:00,8,JOB-0056,0,1
TS-00056,EMP-007,2026-03-01,07:00,16:00,9,JOB-0057,1,0
TS-00057,EMP-008,2026-04-02,08:00,15:00,7,JOB-0058,1,1
TS-00058,EMP-009,2026-05-03,09:00,17:00,8,JOB-0059,1,1
TS-00059,EMP-010,2026-06-04,010:00,19:00,9,JOB-0060,1,1
TS-00060,EMP-011,2026-07-05,07:00,14:00,7,JOB-0061,0,1
TS-00061,EMP-012,2026-08-06,08:00,16:00,8,JOB-0062,1,1
TS-00062,EMP-013,2026-09-07,09:00,18:00,9,JOB-0063,1,1
TS-00063,EMP-014,2026-01-08,010:00,17:00,7,JOB-0064,1,0
TS-00064,EMP-015,2026-02-09,07:00,15:00,8,JOB-0065,1,1
TS-00065,EMP-016,2026-03-10,08:00,17:00,9,JOB-0066,0,1
TS-00066,EMP-017,2026-04-11,09:00,16:00,7,JOB-0067,1,1
TS-00067,EMP-018,2026-05-12,010:00,18:00,8,JOB-0068,1,1
TS-00068,EMP-019,2026-06-13,07:00,16:00,9,JOB-0069,1,1
TS-00069,EMP-020,2026-07-14,08:00,15:00,7,JOB-0070,1,1
TS-00070,EMP-021,2026-08-15,09:00,17:00,8,JOB-0071,0,0
TS-00071,EMP-022,2026-09-16,010:00,19:00,9,JOB-0072,1,1
TS-00072,EMP-023,2026-01-17,07:00,14:00,7,JOB-0073,1,1
TS-00073,EMP-024,2026-02-18,08:00,16:00,8,JOB-0074,1,1
TS-00074,EMP-025,2026-03-19,09:00,18:00,9,JOB-0075,1,1
TS-00075,EMP-026,2026-04-20,010:00,17:00,7,JOB-0076,0,1
TS-00076,EMP-027,2026-05-21,07:00,15:00,8,JOB-0077,1,1
TS-00077,EMP-028,2026-06-22,08:00,17:00,9,JOB-0078,1,0
TS-00078,EMP-029,2026-07-23,09:00,16:00,7,JOB-0079,1,1
TS-00079,EMP-030,2026-08-24,010:00,18:00,8,JOB-0080,1,1
TS-00080,EMP-031,2026-09-25,07:00,16:00,9,JOB-0081,0,1
TS-00081,EMP-032,2026-01-26,08:00,15:00,7,JOB-0082,1,1
TS-00082,EMP-033,2026-02-27,09:00,17:00,8,JOB-0083,1,1
TS-00083,EMP-034,2026-03-28,010:00,19:00,9,JOB-0084,1,1
TS-00084,EMP-035,2026-04-01,07:00,14:00,7,JOB-0085,1,0
TS-00085,EMP-036,2026-05-02,08:00,16:00,8,JOB-0086,0,1
TS-00086,EMP-037,2026-06-03,09:00,18:00,9,JOB-0087,1,1
TS-00087,EMP-038,2026-07-04,010:00,17:00,7,JOB-0088,1,1
TS-00088,EMP-039,2026-08-05,07:00,15:00,8,JOB-0089,1,1
TS-00089,EMP-040,2026-09-06,08:00,17:00,9,JOB-0090,1,1
TS-00090,EMP-041,2026-01-07,09:00,16:00,7,JOB-0091,0,1
TS-00091,EMP-042,2026-02-08,010:00,18:00,8,JOB-0092,1,0
TS-00092,EMP-043,2026-03-09,07:00,16:00,9,JOB-0093,1,1
TS-00093,EMP-044,2026-04-10,08:00,15:00,7,JOB-0094,1,1
TS-00094,EMP-045,2026-05-11,09:00,17:00,8,JOB-0095,1,1
TS-00095,EMP-046,2026-06-12,010:00,19:00,9,JOB-0096,0,1
TS-00096,EMP-047,2026-07-13,07:00,14:00,7,JOB-0097,1,1
